femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,141,99141,Logan (County),23029,,2023-04-10T20:41:15.756Z,563043491de4d8c1229e4380a4a81c76d52e004d,75d3fa3a-1768-4b57-b6c7-aa0846256226
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,197,99197,Powell (County),23029,,2023-04-10T20:41:15.756Z,cbbe311d13a7c69ef346231fa0a0073a7aecb661,40b726b0-f5f4-47f4-a781-06c6907bd867
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,91,99091,Hancock (County),23029,,2023-04-10T20:41:15.756Z,bc77b1eab489a3ea09153394bf63d489255b3485,f1491f26-bcc0-421b-ad0e-5a369dcdb148
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,105,99105,Hickman (County),23029,,2023-04-10T20:41:15.756Z,c6dbc9386173950506b69f105cbfda96cdf5a80b,d1cca937-c470-4273-ad95-4e4a3959821c
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,179,99179,Nelson (County),23029,,2023-04-10T20:41:15.756Z,5ec3099490f4404c85ab3489885cd4b975ced07c,84844a53-fad7-4e15-baab-c3140160b799
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,201,99201,Robertson (County),23029,,2023-04-10T20:41:15.756Z,8fa2182a55b407952efd2100f2b22df3e12ac776,a09d35d8-c100-4c4c-b525-a6fe2da7183a
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,77,99077,Gallatin (County),23029,,2023-04-10T20:41:15.756Z,a9a1cab79df566b094e5d4808ccad2a8c5899f15,d4369d0a-c5d8-48f8-978a-51c49d996a0d
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,65,99065,Estill (County),23029,,2023-04-10T20:41:15.756Z,dbdeadf201169e143d8bb4b9bee3897b5c674240,d391ee1a-59eb-4225-b9ef-c8a871fde55f
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,79,99079,Garrard (County),23029,,2023-04-10T20:41:15.756Z,b00d821de62014a39c4cc8876df8aa6a8099d882,eb453419-f364-4c40-bf7b-b1795a80ae83
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,51,99051,Clay (County),23029,,2023-04-10T20:41:15.756Z,27c43ab455e2dde08117ad87f2621a9c84d88bc7,1119eb26-7b3b-404c-9d66-9919df6b4cc1
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,55,99055,Crittenden (County),23029,,2023-04-10T20:41:15.756Z,796f88949b1ffcf70d2e35092c98b85a4013c65c,d3b4d3d2-0235-4517-88fd-bbe0c23455e2
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,59,99059,Daviess (County),23029,,2023-04-10T20:41:15.756Z,d7318c44ca87ced0198ada9e40ad89e8ebfd4195,34f2b72e-906d-4ba6-9f89-41d498918c05
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,61,99061,Edmonson (County),23029,,2023-04-10T20:41:15.756Z,0492a2b14fbcfd0932738cf60dafbb4db1b5bddc,e80650b0-4bbe-4e7a-9335-4a64742168e3
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,71,99071,Floyd (County),23029,,2023-04-10T20:41:15.756Z,c7fbab3279795072f82eb85b6896503d9c3d31a1,b0d2babe-7630-4084-b11f-cb4fa61f18dc
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,73,99073,Franklin (County),23029,,2023-04-10T20:41:15.756Z,00e2e3cad470bc1c7ddadf5d5b8ab6f593a61356,4a0b7584-8632-470f-865f-7d5336ae304e
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,83,99083,Graves (County),23029,,2023-04-10T20:41:15.756Z,cdc91d971f425989f3f37a6ae963fd88f4763851,6acc1c23-35fc-403d-8484-7178c3067b94
